Row,k=1.00,k=1.05,k=1.10,k=1.15,k=1.20,k=1.25,k=1.30,k=1.35,k=1.40,k=1.45,k=1.50,k=1.55,k=1.60,k=1.65,k=1.70,k=1.75,k=1.80,k=1.85,k=1.90,k=1.95,k=2.00
Method 5,0.0324267782426778,0.0366108786610879,0.0387029288702929,0.0418410041841004,0.0502092050209205,0.0700836820083682,0.0763598326359832,0.0878661087866108,0.104602510460251,0.112970711297071,0.123430962343096,0.132845188284519,0.147489539748954,0.158995815899582,0.166317991631799,0.170502092050209,0.180962343096234,0.187238493723849,0.197698744769874,0.210251046025105,0.24163179916318
Method 6,0.452928870292887,0.524945770065076,0.567505720823799,0.60948905109489,0.655440414507772,0.705802968960864,0.748587570621469,0.783582089552239,0.804381846635368,0.832520325203252,0.862778730703259,0.894179894179894,0.917117117117117,0.918867924528302,0.934653465346535,0.948024948024948,0.963800904977376,0.975124378109453,0.973118279569892,0.979591836734694,1
Method 9,0.231171548117155,0.276150627615063,0.313807531380753,0.352510460251046,0.374476987447699,0.425732217573222,0.451882845188284,0.48326359832636,0.514644351464435,0.543638275499474,0.574561403508772,0.600459242250287,0.629854368932039,0.652552926525529,0.678205128205128,0.702239789196311,0.73187414500684,0.761413843888071,0.778649921507064,0.794266441821248,0.803308823529412
Method 10,0.577405857740586,0.648535564853556,0.735355648535565,0.785564853556485,0.843096234309623,0.874476987447699,0.890295358649789,0.921824104234528,0.938478747203579,0.949824970828471,0.961636828644501,0.967302452316076,0.979228486646884,0.985826771653543,0.988034188034188,0.992523364485981,0.997959183673469,1,1,1,1
