Row,k=1.00,k=1.05,k=1.10,k=1.15,k=1.20,k=1.25,k=1.30,k=1.35,k=1.40,k=1.45,k=1.50,k=1.55,k=1.60,k=1.65,k=1.70,k=1.75,k=1.80,k=1.85,k=1.90,k=1.95,k=2.00
Method 5,0.0324267782426778,0.0366108786610879,0.0387029288702929,0.0418410041841004,0.0502092050209205,0.0700836820083682,0.0763598326359833,0.0878661087866109,0.104602510460251,0.112970711297071,0.123430962343096,0.132845188284519,0.147489539748954,0.15866388308977,0.165797705943691,0.169968717413973,0.180020811654527,0.185492227979275,0.195247933884298,0.205731832139202,0.23499491353001
Method 6,0.440040650406504,0.501554404145078,0.52431289640592,0.53755364806867,0.547027027027027,0.561761546723953,0.563230605738576,0.549738219895288,0.523955147808359,0.502946954813359,0.479047619047619,0.458823529411765,0.442224152910513,0.409243697478992,0.384052074857608,0.365971107544141,0.341619887730553,0.315874294923449,0.291700241740532,0.27140549273021,0.258326563769293
Method 9,0.230929989550679,0.275286757038582,0.31055900621118,0.348500517063082,0.365679264555669,0.406187624750499,0.420233463035019,0.440419447092469,0.457674418604651,0.46078431372549,0.462897526501767,0.465302491103203,0.464221824686941,0.459649122807018,0.450212765957447,0.44342762063228,0.443247721623861,0.436286919831224,0.423569598633646,0.408854166666667,0.384344766930519
Method 10,0.570247933884298,0.62753036437247,0.693293885601578,0.700559701492537,0.713906111603189,0.684124386252046,0.627509293680297,0.602982954545455,0.559706470980654,0.521460602178091,0.469706433479076,0.433190970103722,0.393559928443649,0.369321533923304,0.341405788541051,0.314201183431953,0.289863663307647,0.266310794780546,0.237247924080664,0.220640569395018,0.209371293001186
