Method,IoU_mean,IoU_std,rdef_mean,rdef_std
Method 5,0.12149320743708,0.0628607090352982,0.122335126519227,0.0640996436080745
Method 6,0.441448083960829,0.101202366534248,0.812021052716623,0.166974416935753
Method 9,0.407536634619138,0.0664281177445213,0.555936403677819,0.179702395240443
Method 10,0.468863894622782,0.175035448850058,0.906541409657835,0.123066586165293
